Time,X,Y,Z,Sound
309,38.62,-3.49,-6.99,0.34
314,9.39,-0.75,-1.67,0.77
318,9.58,-0.87,-1.74,0.35
345,9.66,-0.80,-1.71,0.09
373,9.53,-0.85,-1.67,0.20
401,9.71,-0.85,-1.77,0.33
430,9.56,-0.87,-1.70,0.23
457,9.69,-1.02,-1.83,0.15
486,9.58,-0.80,-1.77,0.35
514,9.66,-0.85,-1.75,0.25
541,9.54,-0.76,-1.69,0.11
570,9.72,-0.74,-1.79,0.12
598,9.62,-0.73,-1.70,0.64
626,9.68,-0.85,-1.72,0.20
654,9.61,-0.82,-1.81,0.24
681,9.55,-0.80,-1.76,0.15
710,9.63,-0.83,-1.65,0.56
738,9.48,-0.80,-1.76,0.13
766,9.65,-0.86,-1.70,0.12
794,9.56,-0.84,-1.59,0.28
823,9.86,-0.80,-1.66,0.19
850,9.62,-0.82,-1.75,0.20
878,9.62,-0.80,-1.72,0.15
907,9.58,-0.78,-1.77,0.25
934,9.69,-0.75,-1.70,0.13
963,9.52,-0.63,-1.71,0.13
991,9.66,-0.78,-1.73,0.24
1019,9.63,-0.88,-1.81,0.20
1048,9.68,-0.85,-1.64,0.22
1077,9.49,-0.79,-1.71,0.27
1106,9.72,-0.75,-1.74,0.24
1135,9.47,-0.90,-1.81,0.28
1165,9.60,-0.87,-1.72,0.31
1193,9.62,-0.76,-1.74,0.27
1223,9.56,-0.75,-1.66,0.19
1252,9.73,-0.78,-1.71,0.30
1281,9.52,-0.71,-1.75,0.32
1310,9.69,-0.81,-1.80,0.39
1339,9.53,-0.82,-1.73,0.19
1369,9.67,-0.87,-1.84,0.19
1397,9.62,-0.91,-1.72,0.22
1427,9.57,-0.76,-1.69,0.17
1456,9.63,-0.84,-1.81,0.27
1485,9.60,-0.72,-1.72,0.34
1514,9.64,-0.86,-1.69,0.31
1543,9.64,-0.89,-1.77,0.11
1572,9.57,-0.80,-1.67,0.28
1601,9.69,-0.79,-1.68,0.39
1631,9.57,-0.76,-1.75,0.74
1659,9.69,-0.82,-1.76,0.32
1689,9.54,-0.89,-1.75,0.27
1718,9.70,-0.76,-1.69,0.10
1746,9.69,-0.91,-1.66,0.33
1776,9.62,-0.82,-1.72,0.22
1805,9.73,-0.89,-1.77,0.37
1835,9.52,-0.80,-1.73,0.11
1863,9.61,-0.95,-1.78,0.12
1893,9.65,-0.77,-1.71,0.31
1922,9.67,-0.76,-1.71,0.30
1951,9.73,-0.78,-1.58,0.20
1980,9.55,-0.65,-1.70,0.39
2009,9.77,-0.81,-1.78,0.16
2038,9.53,-0.88,-1.74,0.11
2067,9.61,-0.85,-1.88,0.24
2097,9.76,-0.75,-1.70,0.32
2125,9.54,-0.70,-1.70,0.38
2155,9.76,-0.82,-1.73,0.19
2184,9.53,-0.91,-1.74,0.10
2212,9.61,-0.91,-1.70,0.17
2242,9.58,-0.85,-1.69,0.27
2271,9.56,-0.91,-1.67,0.29
2300,9.69,-0.77,-1.66,0.26
2329,9.52,-0.78,-1.71,0.27
2359,9.56,-0.96,-1.85,0.21
2387,9.55,-0.83,-1.78,0.20
2417,9.56,-0.89,-1.78,0.32
2446,9.68,-0.81,-1.64,0.68
2475,9.56,-0.78,-1.60,0.12
2504,9.69,-0.78,-1.70,0.31
2533,9.45,-0.81,-1.73,0.22
2563,9.54,-0.95,-1.78,0.39
2591,9.54,-0.88,-1.70,0.57
2621,9.57,-0.85,-1.69,0.22
2650,9.78,-0.72,-1.72,0.25
2678,9.51,-0.93,-1.74,0.33
2708,9.62,-0.81,-1.72,0.22
2737,9.54,-0.76,-1.65,0.13
2766,9.57,-0.85,-1.70,0.11
2795,9.60,-0.82,-1.71,0.11
2825,9.56,-0.79,-1.75,0.32
2853,9.74,-0.74,-1.66,0.31
2883,9.54,-0.85,-1.64,0.22
2912,9.64,-0.98,-1.70,0.39
2940,9.72,-0.70,-1.65,0.27
2970,9.45,-0.76,-1.68,0.28
2999,9.67,-0.79,-1.73,0.35
3028,9.50,-0.88,-1.67,0.18
3057,9.61,-0.84,-1.76,0.39
3087,9.53,-0.93,-1.71,0.19
3116,9.63,-0.84,-1.78,0.23
3144,9.65,-0.85,-1.74,0.22
3174,9.45,-0.88,-1.84,0.36
3203,9.69,-0.92,-1.77,0.18
3232,9.53,-0.82,-1.69,0.21
3261,9.69,-0.82,-1.76,0.23
3291,9.67,-0.81,-1.79,0.22
3319,9.46,-0.73,-1.72,0.22
3349,9.84,-0.75,-1.70,0.37
3378,9.49,-0.84,-1.72,0.25
3406,9.73,-0.84,-1.83,0.30
3436,9.64,-0.85,-1.66,0.37
3465,9.60,-0.78,-1.75,0.37
3494,9.77,-0.65,-1.78,0.11
3523,9.50,-0.83,-1.73,0.27
3553,9.63,-0.92,-1.82,0.15
3581,9.48,-0.89,-1.79,0.30
3610,9.66,-0.76,-1.70,0.37
3640,9.66,-0.96,-1.82,0.07
3668,9.64,-0.68,-1.65,0.26
3698,9.69,-0.83,-1.67,0.30
3727,9.57,-0.70,-1.70,0.28
3757,9.75,-0.74,-1.71,0.33
3785,9.59,-1.00,-1.84,0.26
3815,9.59,-0.69,-1.72,0.11
3844,9.69,-0.80,-1.69,0.26
3872,9.43,-0.73,-1.81,0.43
3902,9.63,-0.95,-1.72,0.09
3931,9.47,-0.92,-1.72,0.25
3960,9.61,-0.83,-1.75,0.29
3989,9.67,-0.76,-1.69,0.26
4019,9.54,-0.79,-1.65,0.13
4047,9.84,-0.80,-1.83,0.36
4076,9.59,-0.93,-1.77,0.10
4106,9.68,-0.86,-1.72,0.25
4134,9.60,-0.95,-1.79,0.30
4164,9.62,-0.90,-1.69,0.37
4193,9.68,-0.76,-1.65,0.75
4222,9.54,-0.83,-1.71,0.10
4251,9.73,-1.02,-1.72,0.07
4281,9.50,-0.72,-1.70,0.23
4310,9.60,-0.79,-1.71,0.54
4338,9.72,-0.84,-1.68,0.09
4368,9.51,-0.62,-1.66,0.26
4397,9.72,-0.89,-1.78,0.24
4426,9.55,-0.96,-1.86,0.29
4455,9.57,-0.86,-1.64,0.76
4485,9.64,-0.80,-1.70,0.25
4513,9.56,-0.95,-1.75,0.25
4542,9.68,-0.72,-1.73,0.22
4572,9.50,-0.83,-1.74,0.26
4600,9.79,-0.97,-1.83,0.26
4630,9.50,-0.91,-1.75,0.21
4659,9.53,-0.80,-1.66,0.12
4688,9.69,-0.80,-1.66,0.15
4717,9.52,-0.75,-1.71,0.13
4747,9.67,-0.89,-1.76,0.45
4775,9.60,-0.86,-1.79,0.21
4804,9.67,-1.02,-1.69,0.11
4834,9.70,-0.76,-1.81,0.23
4862,9.58,-0.56,-1.67,0.29
4892,9.68,-0.97,-1.80,0.23
4921,9.58,-0.82,-1.75,0.15
4951,9.64,-0.84,-1.71,0.24
4979,9.49,-0.95,-1.76,0.16
5008,9.59,-0.77,-1.72,0.30
5038,9.68,-0.77,-1.64,0.20
5066,9.52,-0.73,-1.67,0.20
5096,9.70,-0.81,-1.79,0.12
5125,9.53,-0.85,-1.73,0.23
5154,9.55,-0.80,-1.68,0.32
5183,9.73,-0.70,-1.72,0.38
5213,9.69,-0.79,-1.65,0.14
5241,9.76,-0.89,-1.76,0.25
5270,9.53,-0.79,-1.73,0.34
5300,9.62,-0.83,-1.74,0.17
5328,9.61,-0.84,-1.71,0.13
5358,9.47,-0.80,-1.77,0.27
5387,9.73,-0.78,-1.79,0.26
5416,9.54,-0.87,-1.74,0.13
5445,9.62,-0.90,-1.77,0.37
5474,9.61,-0.76,-1.69,0.11
5504,9.57,-0.93,-1.73,0.23
5532,9.63,-0.69,-1.68,0.28
5562,9.50,-0.71,-1.69,0.77
5591,9.81,-0.92,-1.78,0.41
5620,9.48,-0.80,-1.69,0.09
5649,9.58,-0.85,-1.81,0.14
5679,9.56,-0.90,-1.79,0.16
5707,9.58,-0.78,-1.78,0.34
5736,9.66,-0.76,-1.74,0.19
5766,9.56,-0.93,-1.81,0.14
5794,9.68,-0.78,-1.71,0.31
5824,9.58,-0.86,-1.73,0.40
5853,9.57,-0.82,-1.79,0.37
5882,9.70,-0.83,-1.80,0.16
5911,9.59,-0.78,-1.68,0.32
5940,9.79,-0.81,-1.68,0.33
5969,9.39,-0.76,-1.85,0.34
5998,9.46,-0.75,-1.63,0.09
6028,9.59,-0.78,-1.73,0.22
6056,9.52,-0.83,-1.80,0.18
6086,9.59,-0.93,-1.69,0.39
6115,9.53,-0.90,-1.75,0.17
6145,9.60,-0.85,-1.80,0.19
6173,9.49,-0.82,-1.76,0.20
6202,9.49,-0.94,-1.76,0.34
6232,9.60,-0.77,-1.69,0.09
6260,9.44,-0.83,-1.70,0.20
6290,9.58,-0.83,-1.81,0.19
6319,9.60,-0.89,-1.70,0.30
6348,9.53,-0.71,-1.73,0.19
6377,9.75,-0.77,-1.64,0.13
6406,9.49,-0.67,-1.76,0.27
6435,9.64,-0.93,-1.76,0.32
6464,9.59,-0.86,-1.76,0.19
6494,9.69,-0.84,-1.72,0.35
6522,9.69,-0.80,-1.76,0.30
6552,9.62,-0.82,-1.69,0.22
6581,9.72,-0.79,-1.80,0.13
6610,9.53,-0.92,-1.79,0.30
6639,9.68,-0.87,-1.80,0.20
6668,9.61,-0.76,-1.79,0.15
6697,9.58,-0.77,-1.76,0.26
6726,9.88,-0.76,-1.82,0.36
6756,9.61,-0.90,-1.66,0.15
6785,9.76,-0.85,-1.80,0.11
6814,9.62,-0.77,-1.83,0.32
6843,9.52,-0.87,-1.74,0.22
6872,9.71,-0.74,-1.69,0.37
6901,9.47,-0.95,-1.77,0.10
6930,9.71,-0.80,-1.81,0.32
6960,9.48,-0.91,-1.81,0.28
6988,9.60,-0.88,-1.65,0.70
7018,9.63,-0.92,-1.74,0.08
7047,9.54,-0.71,-1.61,0.22
7076,9.76,-0.81,-1.72,0.12
7105,9.54,-0.80,-1.86,0.18
7134,9.73,-0.88,-1.64,0.22
7163,9.65,-0.77,-1.80,0.11
7192,9.64,-0.84,-1.70,0.20
7222,9.73,-0.72,-1.81,0.21
7250,9.47,-0.76,-1.68,0.22
7280,9.67,-0.92,-1.80,0.16
7309,9.58,-0.72,-1.61,0.27
7337,9.69,-0.84,-1.69,0.32
7367,9.82,-0.82,-1.75,0.62
7396,9.62,-0.83,-1.75,0.10
7426,9.61,-0.82,-1.80,0.09
7454,9.53,-0.88,-1.79,0.19
7484,9.70,-0.99,-1.80,0.26
7513,9.62,-0.76,-1.76,0.34
7542,9.54,-0.81,-1.60,0.15
7571,9.73,-0.78,-1.83,0.21
7600,9.49,-0.91,-1.69,0.33
7629,9.59,-0.82,-1.75,0.36
7658,9.73,-0.81,-1.76,0.22
7688,9.56,-0.71,-1.63,0.27
7716,9.76,-0.97,-1.69,0.22
7746,9.47,-0.82,-1.83,0.11
7775,9.60,-0.95,-1.74,0.63
7803,9.57,-0.87,-1.79,0.22
7833,9.57,-0.78,-1.70,0.15
7862,9.65,-0.71,-1.69,0.29
7891,9.46,-0.64,-1.71,0.17
7920,9.59,-0.97,-1.68,0.14
7950,9.57,-0.94,-1.73,0.28
7979,9.54,-0.86,-1.72,0.31
8008,9.68,-0.68,-1.70,0.31
8037,9.58,-0.89,-1.69,0.33
8066,9.72,-0.87,-1.69,0.22
8095,9.55,-0.72,-1.72,0.61
8124,9.56,-0.88,-1.60,0.29
8154,9.64,-0.88,-1.84,0.22
8182,9.54,-0.75,-1.68,0.21
8212,9.67,-0.88,-1.81,0.30
8241,9.56,-0.78,-1.69,0.40
8269,9.56,-0.89,-1.75,0.11
8299,9.66,-0.82,-1.74,0.22
8328,9.67,-0.73,-1.68,0.25
8357,9.74,-0.74,-1.63,0.61
8386,9.51,-0.83,-1.70,0.23
8416,9.56,-0.83,-1.75,0.14
8444,9.55,-0.86,-1.73,0.28
8474,9.50,-0.87,-1.66,0.23
8503,9.78,-0.77,-1.74,0.37
8531,9.38,-0.89,-1.78,0.25
8561,9.55,-0.89,-1.76,0.29
8590,9.51,-0.84,-1.72,0.74
8620,9.67,-0.88,-1.74,0.27
8648,9.54,-0.81,-1.65,0.21
8678,9.48,-0.80,-1.67,0.68
8707,9.57,-0.86,-1.64,0.32
8735,9.41,-0.96,-1.74,0.16
8765,9.48,-0.82,-1.67,0.22
8794,9.64,-0.84,-1.76,0.31
8823,9.43,-0.70,-1.64,0.22
8852,9.72,-0.87,-1.70,0.35
8882,9.51,-0.93,-1.67,0.10
8910,9.46,-0.97,-1.78,0.10
8940,9.53,-0.90,-1.67,0.18
8969,9.47,-0.83,-1.79,0.37
8997,9.69,-0.75,-1.73,0.20
9027,9.57,-0.70,-1.77,0.23
9056,9.74,-0.77,-1.68,0.36
9085,9.57,-0.88,-1.84,0.40
9114,9.65,-0.79,-1.71,0.10
9144,9.68,-0.71,-1.67,0.19
9172,9.52,-0.82,-1.84,0.23
9201,9.67,-0.80,-1.71,0.63
9231,9.40,-0.83,-1.73,0.27
9260,9.66,-0.86,-1.72,0.09
9289,9.64,-0.85,-1.73,0.16
9318,9.50,-0.93,-1.71,0.19
9348,9.58,-0.95,-1.78,0.37
9376,9.49,-0.74,-1.77,0.12
9406,9.62,-0.95,-1.77,0.26
9435,9.67,-0.80,-1.65,0.32
9463,9.61,-0.69,-1.65,0.36
9493,9.78,-0.91,-1.76,0.26
9522,9.67,-0.70,-1.72,0.26
9551,9.62,-0.94,-1.79,0.27
9580,9.53,-0.74,-1.82,0.25
9610,9.56,-0.73,-1.67,0.25
9638,9.72,-0.89,-1.72,0.22
9667,9.62,-0.70,-1.73,0.19
9697,9.55,-0.88,-1.81,0.34
9725,9.61,-0.82,-1.84,0.19
9755,9.70,-0.84,-1.77,0.26
9784,9.60,-0.82,-1.88,0.28
9814,9.53,-0.79,-1.72,0.41
9842,9.72,-0.88,-1.71,0.63
9872,9.50,-0.83,-1.73,0.28
9901,9.52,-0.95,-1.72,0.11
9929,9.58,-0.85,-1.76,0.25
9959,9.40,-0.81,-1.85,0.23
9988,9.81,-0.84,-1.69,0.21
10017,9.53,-0.87,-1.70,0.26
10047,9.62,-0.82,-1.62,0.17
10078,9.69,-0.76,-1.71,0.25
10107,9.62,-0.79,-1.81,0.26
10138,9.49,-0.78,-1.65,0.28
10168,9.70,-0.87,-1.82,0.17
10198,9.73,-0.72,-1.80,0.27
10228,9.59,-0.90,-1.77,0.25
10258,9.62,-0.87,-1.74,0.22
10289,9.81,-0.89,-1.75,0.15
10318,9.61,-0.81,-1.73,0.29
10349,9.53,-0.82,-1.75,0.21
10379,9.64,-0.74,-1.81,0.17
10409,9.78,-0.75,-1.68,0.23
10439,9.61,-0.92,-1.72,0.16
10470,9.64,-0.79,-1.63,0.33
10500,9.75,-0.81,-1.73,0.17
10529,9.64,-0.84,-1.68,0.22
10560,9.53,-0.86,-1.78,0.25
10590,9.61,-0.92,-1.71,0.21
10620,9.84,-0.76,-1.61,0.32
10650,9.54,-0.80,-1.78,0.25
10681,9.62,-0.75,-1.63,0.36
10711,9.67,-0.87,-1.84,0.28
10741,9.58,-0.91,-1.73,0.19
10771,9.57,-0.83,-1.70,0.57
10801,9.61,-0.84,-1.71,0.41
10831,9.67,-0.79,-1.73,0.39
10861,9.47,-0.91,-1.80,0.37
10892,9.49,-0.80,-1.80,0.41
10921,9.55,-1.02,-1.82,0.38
10952,9.59,-0.91,-1.65,0.47
10982,9.52,-0.91,-1.70,0.45
11013,9.55,-0.80,-1.62,0.21
11042,9.69,-0.93,-1.78,0.47
11073,9.56,-0.90,-1.70,0.33
11103,9.57,-0.68,-1.67,0.39
11132,9.69,-0.88,-1.71,0.38
11163,9.68,-0.83,-1.70,0.09
11193,9.56,-0.83,-1.72,0.18
11224,9.54,-0.65,-1.65,0.32
11253,9.63,-0.81,-1.71,0.21
11284,9.56,-0.85,-1.72,0.29
11314,9.50,-0.88,-1.65,0.37
11344,9.63,-0.97,-1.76,0.22
11374,9.56,-0.70,-1.82,0.11
11405,9.59,-0.82,-1.70,0.22
11435,9.47,-0.81,-1.81,0.36
11464,9.54,-0.90,-1.81,0.22
11495,9.60,-0.92,-1.75,0.09
11525,9.53,-0.70,-1.68,0.11
11555,9.62,-0.74,-1.70,0.25
11585,9.65,-0.72,-1.64,0.15
11616,9.66,-0.83,-1.73,0.10
11645,9.56,-0.75,-1.68,0.13
11676,9.66,-0.85,-1.69,0.09
11706,9.65,-0.79,-1.72,0.12
11737,9.56,-0.83,-1.65,0.25
11766,9.67,-0.83,-1.70,0.16
11796,9.68,-0.75,-1.73,0.22
11827,9.72,-0.78,-1.77,0.23
11856,9.56,-0.73,-1.73,0.20
11887,9.64,-0.95,-1.80,0.28
11917,9.67,-0.77,-1.62,0.15
11948,9.48,-0.84,-1.67,0.24
11977,9.61,-0.82,-1.66,0.17
12008,9.76,-0.76,-1.77,0.24
12038,9.54,-0.86,-1.71,0.19
12068,9.52,-0.72,-1.72,0.11
12098,9.70,-0.94,-1.75,0.26
12128,9.70,-0.79,-1.68,0.10
12158,9.51,-0.84,-1.71,0.33
12188,9.65,-0.92,-1.74,0.23
12219,9.75,-0.71,-1.70,0.33
12249,9.59,-0.79,-1.80,0.15
12279,9.53,-0.69,-1.75,0.30
12309,9.69,-0.74,-1.75,0.22
12340,9.71,-0.74,-1.76,0.37
12369,9.51,-0.87,-1.73,0.17
12400,9.57,-0.89,-1.75,0.30
12430,9.71,-0.85,-1.68,0.32
12460,9.59,-0.86,-1.72,0.13
12490,9.49,-0.85,-1.75,0.21
12520,9.62,-0.90,-1.72,0.25
12551,9.65,-0.77,-1.70,0.23
12580,9.47,-0.92,-1.73,0.19
12611,9.49,-0.71,-1.65,0.42
12641,9.66,-0.86,-1.75,0.36
12672,9.73,-0.74,-1.74,0.07
12701,9.51,-0.88,-1.68,0.39
12731,9.53,-0.98,-1.75,0.29
12762,9.71,-0.76,-1.73,0.38
12791,9.62,-0.73,-1.69,0.31
12822,9.67,-0.78,-1.69,0.36
12852,9.74,-0.84,-1.71,0.24
12882,9.73,-0.80,-1.74,0.37
12912,9.53,-0.73,-1.62,0.18
12943,9.71,-0.85,-1.74,0.30
12973,9.80,-0.82,-1.72,0.37
13003,9.62,-0.93,-1.76,0.25
13033,9.61,-0.79,-1.75,0.13
13063,9.71,-0.82,-1.77,0.25
13093,9.71,-0.73,-1.73,0.24
13123,9.42,-0.85,-1.67,0.19
13154,9.61,-0.88,-1.69,0.25
13184,9.67,-0.76,-1.69,0.20
13214,9.51,-0.85,-1.81,0.11
13244,9.53,-0.76,-1.73,0.11
13275,9.63,-0.91,-1.66,0.19
13304,9.75,-0.77,-1.67,0.08
13335,9.43,-0.87,-1.69,0.22
13365,9.64,-0.76,-1.68,0.23
13394,9.71,-0.72,-1.69,0.32
13425,9.53,-0.94,-1.83,0.14
13455,9.46,-0.76,-1.64,0.20
13486,9.60,-0.81,-1.74,0.33
13515,9.76,-0.86,-1.74,0.26
13546,9.45,-0.96,-1.76,0.22
13576,9.53,-0.91,-1.63,0.25
13606,9.74,-0.82,-1.74,0.27
13636,9.51,-0.85,-1.69,0.35
13667,9.42,-0.82,-1.74,0.26
13697,9.61,-0.88,-1.77,0.33
13726,9.68,-0.77,-1.78,0.26
13757,9.39,-1.00,-1.76,0.34
13787,9.59,-0.90,-1.70,0.20
13817,9.69,-0.83,-1.77,0.27
13847,9.56,-0.87,-1.73,0.26
13878,9.55,-0.70,-1.65,0.20
13907,9.62,-0.96,-1.75,0.08
13938,9.74,-0.78,-1.69,0.21
13968,9.61,-0.81,-1.68,0.22
13999,9.55,-0.69,-1.75,0.10
14028,9.76,-0.83,-1.76,0.16
14058,9.52,-0.88,-1.83,0.09
14089,9.50,-0.66,-1.81,0.29
14118,9.58,-0.83,-1.77,0.18
14149,9.71,-0.76,-1.75,0.34
14179,9.53,-0.74,-1.81,0.32
14210,9.57,-0.73,-1.61,0.26
14239,9.69,-0.69,-1.68,0.31
14270,9.55,-0.79,-1.86,0.25
14300,9.51,-0.81,-1.68,0.26
14330,9.62,-0.86,-1.74,0.25
14360,9.73,-0.76,-1.85,0.33
14390,9.57,-0.88,-1.68,0.33
14420,9.56,-0.89,-1.67,0.13
14450,9.62,-0.89,-1.76,0.10
14481,9.67,-0.78,-1.73,0.35
14511,9.61,-0.82,-1.65,0.21
14541,9.67,-0.93,-1.69,0.10
14571,9.79,-0.89,-1.81,0.22
14602,9.49,-0.91,-1.78,0.27
14631,9.64,-0.70,-1.73,0.28
14661,9.77,-0.82,-1.84,0.26
14692,9.62,-0.73,-1.74,0.12
14722,9.54,-0.74,-1.68,0.20
14752,9.67,-0.78,-1.74,0.17
14782,9.81,-0.83,-1.68,0.26
14813,9.57,-0.74,-1.70,0.22
14842,9.51,-0.85,-1.68,0.29
14873,9.67,-0.97,-1.82,0.42
14903,9.54,-0.92,-1.68,0.36
14934,9.49,-0.77,-1.74,0.57
14963,9.60,-0.92,-1.78,0.40
14993,9.68,-0.83,-1.72,0.40
15024,9.59,-0.86,-1.79,0.09
15053,9.51,-0.79,-1.63,0.14
15084,9.62,-0.81,-1.79,0.10
15114,9.58,-0.88,-1.69,0.11
15144,9.56,-0.85,-1.67,0.22
15174,9.66,-0.84,-1.68,0.20
15205,9.73,-0.74,-1.67,0.25
15235,9.60,-0.85,-1.66,0.21
15265,9.48,-0.79,-1.67,0.21
15295,9.63,-0.80,-1.75,0.26
15325,9.60,-0.83,-1.71,0.18
15355,9.46,-0.85,-1.74,0.23
15385,9.44,-0.78,-1.80,0.37
15416,9.62,-0.76,-1.78,0.33
15446,9.60,-0.91,-1.81,0.39
15476,9.51,-0.73,-1.77,0.41
15506,9.66,-0.81,-1.68,0.23
15537,9.64,-0.88,-1.74,0.30
15566,9.54,-0.78,-1.76,0.37
15597,9.61,-0.91,-1.69,0.23
15627,9.85,-0.78,-1.70,0.31
15656,9.64,-0.83,-1.69,0.11
15687,9.58,-0.72,-1.68,0.08
15717,9.65,-0.80,-1.78,0.30
15748,9.58,-0.85,-1.78,0.19
15777,9.49,-0.83,-1.67,0.28
15808,9.65,-0.79,-1.74,0.25
15838,9.73,-0.82,-1.75,0.20
15868,9.56,-0.91,-1.66,0.25
15898,9.60,-0.71,-1.71,0.49
15929,9.66,-0.86,-1.82,0.23
15959,9.64,-0.87,-1.70,0.22
15988,9.50,-0.72,-1.69,0.71
16019,9.56,-0.92,-1.73,0.19
16049,9.63,-0.82,-1.87,0.10
16079,9.46,-0.85,-1.75,0.12
16109,9.48,-0.87,-1.86,0.20
16140,9.67,-0.91,-1.88,0.07
16169,9.55,-0.86,-1.68,0.10
16200,9.63,-0.83,-1.77,0.25
16230,9.62,-0.89,-1.67,0.25
16261,9.73,-0.85,-1.75,0.28
16290,9.58,-0.85,-1.70,0.20
16320,9.55,-0.68,-1.72,0.27
16350,6.13,1.23,0.24,0.48
16378,9.53,-0.82,-0.00,0.40
16408,19.13,-1.58,-3.63,0.42
16440,19.17,-1.88,-2.47,0.48
16472,9.64,-0.83,-1.75,0.46
16501,9.46,-0.85,-1.67,0.46
""
